"",,Minimum,,,Phaseout range [1]
Two children,40,"9,540","3,816",21.06,"12,460 30,580"
1998,,,,,
No children,7.65,"4,460",341,7.65,"5,570 10,030"
One child,34,"6,680","2,271",15.98,"12,260 26,473"
Two children,40,"9,390","3,756",21.06,"12,260 30,095"
1997,,,,,
No children,7.65,"4,340",332,7.65,"5,430 9,770"
One child,34,"6,500","2,210",15.98,"11,930 25,750"
Two children,40,"9,140","3,656",21.06,"11,930 29,290"
1996,,,,,
No children,7.65,"4,220",323,7.65,"5,280 9,500"
One child,34,"6,330","2,152",15.98,"11,610 25,078"
Two children,40,"8,890","3,556",21.06,"11,610 28,495"
1995,,,,,
No children,7.65,"4,100",314,7.65,"5,130 9,230"
One child,34,"6,160","2,094",15.98,"11,290 24,396"
Two children,36,"8,640","3,110",20.22,"11,290 26,673"
1994,,,,,
No children,7.65,"4,000",306,7.65,"5,000 9,000"
One child,26.3,"7,750","2,038",15.98,"11,000 23,755"
Two children,30,"8,425","2,528",17.68,"11,000 25,296"
1993,,,,,
One child,18.5,"7,750","1,434",13.21,"12,200 23,050"
Two children,19.5,"7,750","1,511",13.93,"12,200 23,050"
1992,,,,,
One child,17.6,"7,520","1,324",12.57,"11,840 22,370"
Two children,18.4,"7,520","1,384",13.14,"11,840 22,370"
1991,,,,,
One child,16.7,"7,140","1,192",11.93,"11,250 21,250"
Two children,17.3,"7,140","1,235",12.36,"11,250 21,250"
1990,14,"6,810",953,10,"10,730 20,264"
1989,14,"6,500",910,10,"10,240 19,340"
1988,14,"6,240",874,10,"9,840 18,576"
1987,14,"6,080",851,10,"6,920 15,432"
1985–86,11,"5,000",550,12.22,"6,500 11,000"
1979–84,10,"5,000",500,12.5,"6,000 10,000"
1975–78,10,"4,000",400,10,"4,000 8,000"
